Disease,Fever,Swollen Lymph Nodes,Loss of Appetite,Weakness,Anemia,Difficulty Breathing,Death if Untreated,High Fever,Jaundice,Hemoglobinuria,Weakness and Lethargy,Nervous Signs,Fluid in Lungs,Sudden Death,Weight Loss,Reduced Milk Production,Diarrhea,Poor Growth,Bloated Abdomen
Theileriosis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theileriosis,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Theileriosis,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Theileriosis,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Theileriosis,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
Theileriosis,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
Theileriosis,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Theileriosis,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0
Theileriosis,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theileriosis,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1
Theileriosis,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Theileriosis,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Theileriosis,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
Theileriosis,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
Theileriosis,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
Theileriosis,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Theileriosis,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Theileriosis,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
Babesiosis,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Babesiosis,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Babesiosis,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
Babesiosis,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
Babesiosis,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Babesiosis,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0
Babesiosis,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Babesiosis,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0
Babesiosis,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Babesiosis,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0
Babesiosis,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
Babesiosis,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
Babesiosis,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Babesiosis,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
Babesiosis,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Babesiosis,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
Babesiosis,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Babesiosis,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
Heartwater,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0
Heartwater,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
Heartwater,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0
Heartwater,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0
Heartwater,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
Heartwater,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
Heartwater,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Heartwater,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Heartwater,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Heartwater,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
Heartwater,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Heartwater,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Heartwater,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Heartwater,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
Heartwater,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0
Heartwater,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Heartwater,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Anaplasmosis,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
Anaplasmosis,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Anaplasmosis,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0
Anaplasmosis,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
Anaplasmosis,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
Anaplasmosis,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Anaplasmosis,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
Anaplasmosis,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
Anaplasmosis,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
Anaplasmosis,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Anaplasmosis,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
Anaplasmosis,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
Anaplasmosis,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
Anaplasmosis,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Anaplasmosis,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0
Anaplasmosis,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0
Anaplasmosis,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
Anaplasmosis,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
Toxocariasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Toxocariasis,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Toxocariasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Toxocariasis,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Toxocariasis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Toxocariasis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Toxocariasis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
